iter	Passed	Remaining
407	3238	4698
408	3244	4687
409	3250	4677
410	3256	4667
411	3264	4659
412	3270	4648
413	3277	4638
414	3283	4628
415	3289	4618
416	3295	4607
417	3302	4597
418	3308	4587
419	3314	4576
420	3320	4566
421	3326	4556
422	3333	4547
423	3340	4537
424	3346	4527
425	3352	4517
426	3358	4507
427	3365	4497
428	3371	4487
429	3379	4479
430	3385	4469
431	3392	4460
432	3399	4451
433	3405	4441
434	3412	4432
435	3418	4422
436	3425	4413
437	3432	4403
438	3438	4393
439	3444	4383
440	3450	4373
441	3456	4363
442	3462	4353
443	3469	4344
444	3476	4335
445	3482	4325
446	3488	4315
447	3496	4307
448	3503	4298
449	3510	4290
450	3516	4280
451	3522	4270
452	3529	4261
453	3535	4251
454	3542	4243
455	3549	4234
456	3555	4224
457	3561	4214
458	3567	4205
459	3574	4196
460	3580	4186
461	3587	4178
462	3594	4169
463	3600	4159
464	3607	4150
465	3613	4140
466	3620	4131
467	3626	4122
468	3632	4113
469	3639	4103
470	3645	4094
471	3651	4084
472	3658	4076
473	3664	4066
474	3671	4058
475	3678	4049
476	3684	4039
477	3690	4029
478	3696	4020
479	3703	4011
480	3709	4002
481	3715	3993
482	3722	3984
483	3728	3975
484	3734	3965
485	3742	3957
486	3748	3948
487	3755	3940
488	3761	3930
489	3767	3921
490	3773	3912
491	3780	3902
492	3786	3894
493	3792	3884
494	3799	3876
495	3806	3867
496	3812	3858
497	3820	3851
498	3826	3841
499	3832	3832
500	3839	3823
501	3844	3814
502	3851	3805
503	3856	3795
504	3862	3786
505	3869	3777
506	3875	3768
507	3882	3759
508	3888	3750
509	3894	3742
510	3900	3732
511	3907	3724
512	3913	3715
513	3920	3707
514	3926	3698
515	3932	3688
516	3938	3679
517	3945	3670
518	3952	3662
519	3958	3654
520	3965	3645
521	3971	3637
522	3977	3627
523	3985	3620
524	3991	3611
525	3998	3602
526	4004	3594
527	4010	3585
528	4017	3576
529	4022	3567
530	4029	3559
531	4035	3549
532	4041	3541
533	4049	3533
534	4055	3524
535	4061	3515
536	4068	3508
537	4075	3499
538	4081	3491
539	4088	3482
540	4094	3473
541	4100	3464
542	4106	3455
543	4113	3447
544	4118	3438
545	4125	3430
546	4132	3422
547	4139	3414
548	4145	3405
549	4152	3397
550	4158	3388
551	4165	3380
552	4170	3371
553	4176	3362
554	4182	3353
555	4198	3352
556	4213	3350
557	4222	3344
558	4233	3340
559	4246	3336
560	4257	3331
561	4276	3332
562	4287	3328
563	4298	3322
564	4308	3316
565	4319	3312
566	4330	3306
567	4342	3302
568	4350	3295
569	4362	3291
570	4370	3283
571	4379	3277
572	4390	3271
573	4401	3266
574	4412	3261
575	4420	3253
576	4427	3245
577	4435	3238
578	4444	3231
579	4456	3226
580	4468	3222
581	4479	3217
582	4487	3209
583	4495	3202
584	4503	3194
585	4509	3185
586	4515	3177
587	4522	3168
588	4529	3160
589	4537	3152
590	4543	3144
591	4549	3135
592	4556	3127
593	4563	3118
594	4570	3111
595	4577	3102
596	4583	3094
597	4589	3085
598	4595	3076
599	4601	3067
600	4609	3059
601	4615	3051
602	4623	3043
603	4629	3035
604	4635	3026
605	4644	3019
606	4652	3012
607	4660	3004
608	4667	2996
609	4674	2988
610	4683	2981
611	4691	2974
612	4700	2967
613	4710	2961
614	4717	2953
615	4726	2946
616	4734	2939
617	4743	2932
618	4751	2924
619	4759	2916
620	4766	2909
621	4776	2902
622	4784	2895
623	4792	2887
624	4799	2879
625	4808	2872
626	4816	2865
627	4824	2857
628	4831	2849
629	4839	2842
630	4846	2834
631	4855	2827
632	4862	2819
633	4871	2811
634	4880	2805
635	4890	2799
636	4902	2793
637	4912	2787
638	4922	2781
639	4931	2774
640	4939	2766
641	4946	2758
642	4955	2751
643	4962	2743
644	4971	2736
645	4980	2729
646	4988	2721
647	4996	2714
648	5004	2706
649	5012	2698
650	5022	2692
651	5029	2684
652	5039	2678
653	5048	2671
654	5057	2663
655	5064	2655
656	5072	2647
657	5081	2640
658	5089	2633
659	5096	2625
660	5105	2618
661	5112	2610
662	5120	2602
663	5127	2594
664	5136	2587
665	5144	2580
666	5151	2572
667	5158	2563
668	5164	2555
669	5174	2548
670	5181	2540
671	5188	2532
672	5194	2524
673	5200	2515
674	5207	2507
675	5214	2499
676	5221	2491
677	5228	2483
678	5234	2474
679	5240	2466
680	5246	2457
681	5252	2449
682	5258	2440
683	5265	2432
684	5272	2424
685	5278	2415
686	5285	2407
687	5291	2399
688	5299	2392
689	5305	2383
690	5313	2375
691	5319	2367
692	5325	2359
693	5331	2350
694	5337	2342
695	5344	2334
696	5351	2326
697	5357	2318
698	5364	2309
699	5370	2301
700	5378	2293
701	5384	2285
702	5390	2277
703	5397	2269
704	5403	2260
705	5409	2252
706	5415	2244
707	5421	2235
708	5428	2228
709	5435	2220
710	5441	2211
711	5447	2203
712	5454	2195
713	5461	2187
714	5467	2179
715	5475	2171
716	5481	2163
717	5487	2155
718	5493	2147
719	5499	2138
720	5506	2130
721	5512	2122
722	5520	2114
723	5529	2107
724	5535	2099
725	5542	2091
726	5549	2083
727	5555	2075
728	5562	2067
729	5569	2059
730	5575	2051
731	5581	2043
732	5589	2035
