iter	Logloss
0	0.6885248564
1	0.6842474458
2	0.6800854284
3	0.6760927723
4	0.6720381753
5	0.6662498982
6	0.6606932821
7	0.655465674
8	0.651529773
9	0.6469424794
10	0.6440323725
11	0.6413899571
12	0.6385670178
13	0.6353407438
14	0.6325343694
15	0.6302626505
16	0.6281518629
17	0.6259561672
18	0.6225063543
19	0.6192148083
20	0.6175078933
21	0.615844894
22	0.6142374735
23	0.6119513185
24	0.6103135824
25	0.608721065
26	0.6072475978
27	0.6055826918
28	0.604107046
29	0.6027327983
30	0.6013891723
31	0.5991637888
32	0.5976410943
33	0.596386695
34	0.5954309363
35	0.593666092
36	0.5919985052
37	0.5909755072
38	0.5897924999
39	0.5885523782
40	0.5873774503
41	0.5864928759
42	0.5852366769
43	0.5839023907
44	0.5827615674
45	0.5818555744
46	0.5811515089
47	0.5802856691
48	0.5796233222
49	0.5788470293
50	0.577767753
51	0.5771587053
52	0.5763906787
53	0.5758475319
54	0.5751422229
55	0.5746140265
56	0.5738834643
57	0.5734271862
58	0.5727612626
59	0.5719757353
60	0.5717133515
61	0.5709846009
62	0.5705018374
63	0.5698165673
64	0.5693310668
65	0.5688714788
66	0.5683474419
67	0.5677955413
68	0.5674151576
69	0.5668600377
70	0.5661708417
71	0.5656661937
72	0.5652046331
73	0.5644727563
74	0.563963111
75	0.5635883136
76	0.563264443
77	0.5627659768
78	0.5622525809
79	0.5618814853
80	0.5614040998
81	0.5610901227
82	0.5607476979
83	0.5604973184
84	0.5601136343
85	0.5596910527
86	0.5591702043
87	0.5588150089
88	0.5583478055
89	0.5579296141
90	0.5575662698
91	0.5570554296
92	0.5566826572
93	0.5560766862
94	0.5557437077
95	0.5554008875
96	0.555028768
97	0.5546617463
98	0.55436846
99	0.5540218459
100	0.5537472363
101	0.5532430029
102	0.5528819957
103	0.5525347257
104	0.5522823694
105	0.5519041663
106	0.5515551988
107	0.5511389074
108	0.5506340662
109	0.5502879065
110	0.5500800143
111	0.5498618272
112	0.5495814414
113	0.5493423089
114	0.5489248146
115	0.5486094938
116	0.5483593511
117	0.5480123985
118	0.5476805188
119	0.547391222
120	0.5470651231
121	0.546813278
122	0.5464529374
123	0.5460611182
124	0.5458310393
125	0.5455820989
126	0.5452637692
127	0.5449655275
128	0.5446324076
129	0.5443824455
130	0.5440624676
